"Tax_HotelID","Tax_HotelName","Tax_HotelAddress","Tax_City"
6281,"DELUXINN","4610 S R L THORNTON FWY","DALLAS"
7529,"GUEST MOTEL","12111 MURPHY RD","STAFFORD"
13355,"SUPER 8 MOTEL","3995 INTERSTATE 10 S","BEAUMONT"
8811,"INTOWN SUITES WEBSTER","480 W BAY AREA BLVD","WEBSTER"
8802,"INTOWN SUITES LEON VALLEY","6451 BANDERA RD","LEON VALLEY"
12883,"SRUTI HOSPITALITY INC.","5820 KATY FWY","HOUSTON"
319,"2400 MCCUE","2400 MCCUE","HOUSTON"
12015,"SAN MONTEGO","1600 ELDRIDGE PKWY","HOUSTON"
7048,"FAIRMONT","2323 LONG BEACH DR","SUGARLAND"
6388,"DOMINION POSTOAK","2323 MCCUE RD","HOUSTON"
10891,"PARK AT RIVER OAKS","3121 BUFFALO SPEEDWAY","HOUSTON"
2028,"BRAESWOOD PLACE","3838 N BRAESWOOD BLVD","HOUSTON"
309,"2222 SMITH","2222 SMITH ST.","HOUSTON"
9687,"LEFT BANK AT RIVER OAKS","5353 MEMORIAL DR","HOUSTON"
11997,"SAN BRISAS","2020 ELDRIDGE PKWY","HOUSTON"
401,"36 SIXTY","3660 RICHMOND AVE","HOUSTON"
9552,"LAKES AT CINCO RANCH","2855 COMMERCIAL CENTER BLVD","KATY"
2062,"BROADSTONE MEMORIAL","875 N ELDRIDGE PKWY","HOUSTON"
10143,"METROPOLE","3616 RICHMOND AVE","HOUSTON"
16141,"UPTOWN POST OAK","1111 POST OAK BLVD","HOUSTON"
971,"AMLI 2121","2121 ALLEN PKWY","HOUSTON"
2257,"CAMDEN CITY CENTRE","301 ST JOSEPH PKWY","HOUSTON"
10252,"MONTIERRA","2345 SAGE RD","HOUSTON"
358,"3000 SAGE","3000 SAGE RD","HOUSTON"
16357,"VILLAGE ON MEMORIAL TOWN HOMES","15200 MEMORIAL DR","HOUSTON"
16238,"VENTURA LOFT","2401 S GESSNER RD","HOUSTON"
10093,"MEMORIAL BY WINDSOR","3131 MEMORIAL CT","HOUSTON"
385,"33 THIRTY THREE","3333 WESLAYAN ST","HOUSTON"
2260,"CAMDEN MIDTOWN","2311 MILAM ST","HOUSTON"
827,"AMALFI AT HERMAN PARK","3 HERMANN MUSEUM CIRCLE DR","HOUSTON"
296,"2121 MID LANE","2121 MID LN","HOUSTON"
297,"2126 MID LANE","2121 MID LN","HOUSTON"
16241,"VERONA","700 COBIA DR","KATY"
16362,"VILLIAGE AT CYPRESSWOOD","10300 CYPRESSWOOD DR","HOUSTON"
6385,"DOMAIN  CITY CENTRE","702 CLEVELAND ST","HOUSTON"
16239,"VENUE @ MIDTOWN","5353 FANNIN ST","HOUSTON"
11177,"POST OAK WOODWAY","99 N POST OAK LN","HOUSTON"
977,"AMLI UPTOWN","2525 MCCUE RD","HOUSTON"
974,"AMLI ELDRIDGE PARKWAY","1415 ELDRIDGE PKWY","HOUSTON"
2063,"BROADSTONE POST OAK","3100 POST OAK BLVD","HOUSTON"
2452,"CARRINGTON PARK LAKES","4475 WILSON RD","HUMBLE"
10141,"METRO GREENWAY","4100 SOUTHWEST FWY","HOUSTON"
16372,"VIRAGE","100 DETERING ST","HOUSTON"
16437,"WATERWALL PLACE","2801 WATERWALL DR","HOUSTON"
318,"24 ELEVEN","2411 WASHINGTON AVE","HOUSTON"
4878,"CITY PLACE MIDTOWN","306 MCGOWEN ST","HOUSTON"
16424,"WATERFORD RANCH","3200 BROMLEY PL","MIDLAND"
7737,"HANOVER SOUTHHAMPTOWN","5122 MORNINGSIDE DR","HOUSTON"
754,"ALEXAN ENCLAVE","13411 BRIAR FOREST DR","HOUSTON"
2259,"CAMDEN HOLLY SPRINGS","680 W SAM HOUSTON PKWY S","HOUSTON"
752,"ALEXAN CITY CENTER","905 TOWN AND COUNTRY BLVD","HOUSTON"
7756,"HARBOR VIEW","4855 MAGNOLIA COVE DR","KINGWOOD"
9553,"LAKES AT CYPRESSWOOD","9889 CYPRESSWOOD DR","HOUSTON"
1167,"ASCENT CITY CENTRE","801 TOWN AND COUNTRY BLVD","HOUSTON"
2064,"BROADSTONE SKYLINE","707 SAULNIER ST","HOUSTON"
11562,"RESIDENCE AT MIDLAND","5801 DEAUVILLE","MIDLAND"
2258,"CAMDEN GREENWAY","3800 AUDLEY ST","HOUSTON"
11382,"RAVENEAUX","14500 CUTTEN RD","HOUSTON"
13500,"SYNC AT SPRING CYPRESS","22803 STATE HIGHWAY 249","TOMBALL"
11835,"ROSEGARDEN SUITES","12420 S SAM HOUSTON PKWY W","HOUSTON"
13351,"SUPER 8 MOTEL","3121 MONTGOMERY RD","HUNTSVILLE"
1828,"BEST WESTERN REFUGIO","1007 VICTORIA RD # 77","REFUGIO"
1143,"ARBOR INN & SUITES","5310 ENGLEWOOD","LUBBOCK"
6019,"CRYSTAL SUITES","12962 SOUTH FWY","HOUSTON"
5957,"CRANE LA BONITA INN AND SUITES","220 NW COUNTY RD","CRANE"
10645,"OMNI HOUSTON HOTEL","4 RIVERWAY","HOUSTON"
10648,"OMNI MANDALAY HOTEL","600 LAS COLINAS BLVD E STE 1900","IRVING"
10638,"OMNI AUSTIN HOTEL AT FIC CENTRE","700 SAN JACINTO BLVD","AUSTIN"
8788,"INTOWN SUITES CARROLLTON","2661 WESTGROVE DR","CARROLLTON"
8809,"INTOWN SUITES SIX FLAGS","2211 N COLLINS ST","ARLINGTON"
8793,"INTOWN SUITES HIGHWAY 290","14041 NORTHWEST FWY","HOUSTON"
8808,"INTOWN SUITES SAN PEDRO","6923 SAN PEDRO AVE","SAN ANTONIO"
5119,"COMFORT SUITES","5204 S EAST END BLVD","MARSHALL"
1612,"BEST PRICE MOTEL & SUITES","2610 I-10 WEST","ORANGE"
10745,"PADRE SOUTH HOTEL","1500 GULF BLVD","SOUTH PADRE ISLAND"
1641,"BEST WESTERN","8049 N SAM HOUSTON PKWY W","HOUSTON"
5245,"CORPORATE HOUSING ASSOCIATES LP","10200 GROGANS MILL RD STE 550","THE WOODLANDS"
7257,"FREDERICKSBURG INN & SUITES","201 S WASHINGTON ST","FREDERICKSBURG"
12538,"SLEEP IN / MAINSTAY SUITES","3401 W DICKINSON BLVD","FORT STOCKTON"
1697,"BEST WESTERN GRANBURY INN & SUITES","1517 N PLAZA DR","GRANBURY"
882,"AMERICA'S BEST VALUE INN WALLER","19777 STOKES RD","WALLER"
2147,"BUDGET INN & SUITES","515 E COMMERCE ST","BROWNWOOD"
10161,"MICROTEL INN & SUITES","15314 SAN PEDRO AVE","SAN ANTONIO"
6270,"DELUXE INN","4800 N IH 35","AUSTIN"
8784,"INTOWN SUITES ARLINGTON OAK VILLAGE","1727 OAK VILLAGE BLVD","ARLINGTON"
8806,"INTOWN SUITES ROLLING CREEK","16909 ROLLING CREEK DR","HOUSTON"
12491,"SHRADDHA LP","7318 CALMONT AVE","FORT WORTH"
8787,"INTOWN SUITES BROOK HOLLOW","8201 BROOKRIVER DR","DALLAS"
2110,"BUDGET INN","1761 SOUTH HWY 59","JEFFERSON"
7484,"GREENSPOINT AIRPORT, L.P.","1340 N SAM HOUSTON PKWY E","HOUSTON"
8016,"HIWAY INN & SUITE","4211 TEXAS AVE STE 101","LA MARQUE"
11508,"REGENCY INN & SUITES OF ABILENE","3450 S CLACK ST","ABILENE"
841,"AMERICA'S BEST VALUE  INN  - REFUGIO","920 VICTORIA RD","REFUGIO"
11439,"RED ROOF INN","815 S INTERSTATE 35","NEW BRAUNFELS"
7310,"GALVESTON BEACH HOTEL WEST","8710 SEAWALL BLVD","GALVESTON"
12832,"SPRINGHILL SUITES-KATY MILLS","2501 TEXAMATI DR","KATY"
13411,"SURESTAY PLUS BY BEST WESTERN","11355 SAN PEDRO AVE","SAN ANTONIO"
11656,"RIATA INN","1500 E US HIGHWAY 90","MARFA"
11657,"RIATA INN","1531 N HIGHWAY 83","CRYSTAL CITY"
11659,"RIATA INN","99206 US HIGHWAY 67","PRESIDIO"
11658,"RIATA INN","509 E HIGHWAY 67","RANKIN"
4935,"CLUB QUARTERS IN HOUSTON","720 FANNIN ST","HOUSTON"
8108,"HOLIDAY INN EXPRESS","300 TUTTLE CIR","LONGVIEW"
13317,"SUPER 8 MOTEL","1000 CABLE ST","CONROE"
11822,"ROEDERER ENTERPRISES LLC","154 WOODCREEK DR","WIMBERLEY"
16412,"WARREN RANCH","2949 PR 1342","SANTA ANNA"
7809,"HEIDELBERG LODGES","1020 N HOUSTON AVE","NEW BRAUNFELS"
5122,"COMFORT SUITES","5995 WALDEN RD","BEAUMONT"
6030,"CULEBRA MOTEL","5812 CULEBRA RD","SAN ANTONIO"
10522,"NORTHWEST HWY LLC","1901 PENDLETON DR","GARLAND"
1706,"BEST WESTERN INN","204 N COLLEGE AVE","LEVELLAND"
12490,"SHP - THE CALLAWAY HOUSE LP","301 GEORGE BUSH DR W","COLLEGE STATION"
687,"ACC OP CALLAWAY VILLAS LP","305 MARION PUGH DR","COLLEGE STATION"
13499,"SYMPHONY INN & SUITES","6613 NORTH FWY","HOUSTON"
888,"AMERICAN AIRLINES INC","4200 AMERICAN BLVD","FORT WORTH"
13530,"TAYLORS INTERNATIONAL SERVICES INC","100 MUNSON RD","CARRIZO SPRINGS"
274,"2020 SANDPOINT LTD","2020 SAND POINT CIR","PORT ARANSAS"
11895,"S J PATEL & SONS LTD","1204 US HIGHWAY 79 N","HENDERSON"
8524,"HOSTELLING INTERNATIONAL HOUSTON","501 LOVETT BLVD","HOUSTON"
906,"AMERICAN YOUTH HOSTELS, INC.","2200 S LAKESHORE BLVD","AUSTIN"
6854,"EXECUTIVE INN","800 N US HIGHWAY 77","SCHULENBURG"
12495,"SIESTA HOTEL","4109 SAN BERNARDO AVE","LAREDO"
9494,"LA VILLITA INN","736 S SAINT MARYS","SAN ANTONIO"
10808,"PALACE INN I-10 WEST","1340 W SAM HOUSTON PKWY","HOUSTON"
1808,"BEST WESTERN PLUS SEMINOLE HOTEL & SUITES","308 S MAIN ST","SEMINOLE"
1782,"BEST WESTERN PLUS DENVER CITY HOTEL & SUITES","830 E BROADWAY ST","DENVER CITY"
5098,"COMFORT SUITES","2350 S DAY ST","BRENHAM"
12827,"SPRINGHILL SUITES","1820 COUNTRY PLACE PKWY","PEARLAND"
12028,"SAND HILL RANCH","309 COUNTY RD 4228","DECATUR"
6512,"EASY 8 MOTEL","13245 FONDREN RD","HOUSTON"
862,"AMERICA'S BEST VALUE INN","3100 ESTES PKWY","LONGVIEW"
13275,"SUPER 8","3314 1ST ST","ROSENBERG"
2607,"CENTURY INN","2126 W NORTHWEST HWY","DALLAS"
11414,"RED RIVER INN","2401 W MAIN ST","CLARKSVILLE"
11032,"PINE CREEK LODGE","341 PINE CREEK RD","NACOGDOCHES"
7921,"HILTON GARDEN","750 W TEXAS AVE","WEBSTER"
9907,"LUXURY SUITES","3001 N TRADE DAYS BLVD","CANTON"
2638,"CHATWORTH LTD_- HOLIDAY INN EXPRESS","2806 WOLFLIN AVE","AMARILLO"
1756,"BEST WESTERN PLAZA HOTEL","6700 MAIN ST","HOUSTON"
6381,"DOLPHIN MOTEL AND RV PARK INC","2301 E BS HWY 83","DONNA"
13693,"THE BROWNSVILLE STAYBRIDGE SUITES","2900 PABLO KISEL BLVD","BROWNSVILLE"
6213,"DAYS INN OF FALFURRIAS","2299 S US HIGHWAY 281","FALFURRIAS"
8121,"HOLIDAY INN EXPRESS","4892 W HIGHWAY 290","SUNSET VALLEY"
11349,"RAMADA LIMITED","2201 N BRYANT BLVD","SAN ANGELO"
9475,"LA QUINTA INNS AND SUITES","520 W BAY AREA BLVD","WEBSTER"
2690,"CIRCLE CROSS ENTERPRISES","1115 MAIN ST","MATADOR"
13754,"THE FEATHERED HORSE RANCH INC","1261 STONELEIGH RD","COMFORT"
8734,"IN FLIGHT OUTFITTERS INC","1031 FM 534","MATHIS"
2227,"CABERNET GRILL TEXAS WINE COUNTRY RESTAURANT","2805 N STATE HIGHWAY 16","FREDERICKSBURG"
21,"1 BIG HOUSE","118 BOOS LN","FREDERICKSBURG"
1604,"BEST BUDGET SUITES","8401 WEST FWY # I-30","FORT WORTH"
9291,"LA QUINTA","7220 BOB BULLOCK LOOP","LAREDO"
1829,"BEST WESTERN RELIANT PARK","2364 SOUTH LOOP W","HOUSTON"
8339,"HOLIDAY INN OF COLLEGE STATION","2500 EARL RUDDER FWY S","COLLEGE STATION"
16527,"WILDCATTER RANCH & RESORT LP","6062 HIGHWAY 16 S","GRAHAM"
6859,"EXECUTIVE INN  & SUITES","1786 W BUSINESS HIGHWAY 83","MISSION"
11491,"REGENCY INN","2855 HWY 90 W","BRENHAM"
7999,"HILTON MIDLAND PLAZA","117 W WALL","MIDLAND"
315,"2301 ISLAND WOOD RD","2301 ISLAND WOOD RD","AUSTIN"
2033,"BRAUNIG LAKE RV AND RESORT","13550 DONOP RD","ELMENDORF"
5096,"COMFORT SUITES","2075 N HWY 360","GRAND PRAIRIE"
8131,"HOLIDAY INN EXPRESS","727 S 11TH ST","PORT ARANSAS"
11506,"REGENCY INN & SUITES","7700 WILL CLAYTON PKWY","HUMBLE"
9712,"LIBERTY HOTEL","205 S CADDO ST","CLEBURNE"
8112,"HOLIDAY INN EXPRESS","350 MEDICAL DR","JOURDANTON"
13150,"SUNBRIDGE INN & SUITES","388 MEDICAL DR","JOURDANTON"
1843,"BEST WESTERN THE WOODLANDS","17081 INTERSTATE 45 SOUTH","THE WOODLANDS"
13746,"THE EXECUTIVE INN","2007 STATE HIGHWAY 35 N","PORT LAVACA"
13154,"SUNCHASE CONDOMINIUMS","1010 PADRE BLVD","SOUTH PADRE ISLAND"
13564,"TEXAN INN","4045 NORTH FWY","HOUSTON"
6534,"ECONO LODGE","9102 BURNET RD","AUSTIN"
726,"AIRPORT INN SUITES","849 LANTANA ST","CORPUS CHRISTI"
2166,"BUDGET SUITES OF AMERICA TX-282","10222 N WALTON WALKER BLVD","DALLAS"
2174,"BUDGET SUITES OF AMERICA, TX-424","2175 S HIGHWAY 121","LEWISVILLE"
2172,"BUDGET SUITES OF AMERICA TX-414","1050 N HIGHWAY 360","GRAND PRAIRIE"
2173,"BUDGET SUITES OF AMERICA, TX-408","8150 STEMMONS FWY","DALLAS"
1457,"BEACH HOUSE","105 E CORRAL ST","SOUTH PADRE ISLAND"
1456,"BEACH HOTEL","101 E CAPRICORN DR","SOUTH PADRE ISLAND"
1465,"BEACH HOUSE VACATION RENTALS SPI INC","108 E JUPITER LN","SOUTH PADRE ISLAND"
160,"133 WHITE SANDS","133 WHITE SANDS","SOUTH PADRE ISLAND"
82,"111 E CORRAL ST UNIT D","111 E CORRAL ST UNIT D","SOUTH PADRE ISLAND"
10772,"PALACE INN","15707 EASTEX FWY","HUMBLE"
10080,"MCM GRANDE & FUN DOME","6201 E HWY 80","ODESSA"
7645,"HAMPTON INN & SUITES - GAINESVILLE","4325 N INTERSTATE 35","GAINESVILLE"
6760,"EMERALD BEACH HOTEL","1102 S SHORELINE BLVD","CORPUS CHRISTI"
11838,"ROUGH CREEK LODGE","1435 PR 1256","IREDELL"
11404,"RED CROWN INN","9616 C F HAWN FWY","DALLAS"
16599,"WINNWAY MOTEL","1717 MARTIN L KING BLVD","DALLAS"
8022,"HOFFMAN HAUS","608 E CREEK ST","FREDERICKSBURG"
9313,"LA QUINTA INN","6075 E IH-105","SAN ANOTNIO"
14291,"TROISI'S ITALIAN RISTORANTE","300 TROIS LANE","FREDERICKSBURG"
13713,"THE COMPASS CENTRE","1030 FM 339","MOUNT CALM"
10764,"PALACE INN","10901 EAST FWY","HOUSTON"
9178,"KNIGHTS INN","104 TEXAS AVE S","COLLEGE STATION"
14121,"TOWER INN","5844 JACKSBORO HWY","FORT WORTH"
13107,"SUITES AT SUNCHASE","1004 PADRE BLVD","S PADRE ISLE"
16203,"VALUE PLACE","2311 W LOOP 289","LUBBOCK"
1845,"BEST WESTERN TROPIC INN","615 S HIGHWAY 77","ROBSTOWN"
11343,"RAMADA INN --JASPER","239 E GIBSON ST","JASPER"
12951,"STAYBRIDGE SUITES","1225 ELDRIDGE PKWY","HOUSTON"
12533,"SKY CAMP","641 SKY CAMP LOOP","GRAFORD"
7068,"FAIRWINDS EXECUTIVE INN","1415 W BUS 83","PHARR"
7334,"GARDEN INN MOTEL","2907 W TRAVIS ST","SAN ANTONIO"
13330,"SUPER 8 MOTEL","1702 E EXPRESSWAY 83","WESLACO"
10075,"MCM ELEGANTE","2355 IH 10 S","BEAUMONT"
6945,"EXTENDED STAY AMERICA #9832","2700 GRACY FARMS LN","AUSTIN"
6941,"EXTENDED STAY AMERICA #9826","1301 BRAESWOOD BLVD","HOUSTON"
6946,"EXTENDED STAY AMERICA #9833","5401 GREEN PARK DR","IRVING"
6944,"EXTENDED STAY AMERICA #9829","12424 RESEARCH BLVD","AUSTIN"
6943,"EXTENDED STAY AMERICA #9828","2900 DALLAS PKWY","PLANO"
6947,"EXTENDED STAY AMERICA #9834","8221 N IH 35","AUSTIN"
6954,"EXTENDED STAY DELUXE #9831","4726 SUGAR GROVE BLVD","STAFFORD"
6942,"EXTENDED STAY AMERICA #9827","720 W BAY AREA BLVD","WEBSTER"
6913,"EXTENDED STAY AMERICA #45","2979 N STEMMONS FWY","DALLAS"
6918,"EXTENDED STAY AMERICA #6030","5555 S. IH 35","ROUND ROCK"
6920,"EXTENDED STAY AMERICA #6057","2330 SOUTHWEST FWY","HOUSTON"
6908,"EXTENDED STAY AMERICA # 6060","600 GUADALUPE ST","AUSTIN"
6899,"EXTENDED STAY AMERICA","1410 NASA PKWY","NASSAU BAY"
6922,"EXTENDED STAY AMERICA #6069","4022 PARKSIDE CENTER BLVD","FARMERS BRANCH"
6909,"EXTENDED STAY AMERICA # 6073","1900 LAKEPOINTE DR","LEWISVILLE"
6910,"EXTENDED STAY AMERICA # 6081","6300 E HIGHWAY 290","AUSTIN"
6926,"EXTENDED STAY AMERICA #6082","605 MEADOW CREEK DR","IRVING"
6927,"EXTENDED STAY AMERICA #6083","4331 SPECTRUM ONE","SAN ANTONIO"
6911,"EXTENDED STAY AMERICA # 6178","5100 W HIGHWAY 290","AUSTIN"
6928,"EXTENDED STAY AMERICA #6195","13858 N US HIGHWAY 183","AUSTIN"
6912,"EXTENDED STAY AMERICA # 6197","16950 N IH 35","AUSTIN"
6929,"EXTENDED STAY AMERICA #62","1303 LA CONCHA LN","HOUSTON"
6915,"EXTENDED STAY AMERICA #6026","16939 STATE HIGHWAY 249","HOUSTON"
6916,"EXTENDED STAY AMERICA #6027","10100 N CAPITAL OF TEXAS HWY","AUSTIN"
6917,"EXTENDED STAY AMERICA #6029","150 VALLEY WOOD DR","SPRING"
6919,"EXTENDED STAY AMERICA #6055","4701 WESTHEIMER RD","HOUSTON"
6921,"EXTENDED STAY AMERICA #6068","11175 KATY FWY","HOUSTON"
6923,"EXTENDED STAY AMERICA #6070","6218 S STAPLES ST","CORPUS CHRISTI"
6924,"EXTENDED STAY AMERICA #6072","1908 FOREST RIDGE DR","BEDFORD"
6925,"EXTENDED STAY AMERICA #6074","13505 NORTH FWY","HOUSTON"
6931,"EXTENDED STAY AMERICA #9702","9100 WATERFORD CENTRE BLVD","AUSTIN"
6932,"EXTENDED STAY AMERICA #9703","507 S 1ST ST","AUSTIN"
6933,"EXTENDED STAY AMERICA #9705","5315 CARNABY ST","IRVING"
6934,"EXTENDED STAY AMERICA #9706","7825 HEATHROW DR","IRVING"
6935,"EXTENDED STAY AMERICA #9708","12121 COIT RD","DALLAS"
6936,"EXTENDED STAY AMERICA #9709","18470 DALLAS PKWY","DALLAS"
6937,"EXTENDED STAY AMERICA #9711","901 E CAMPBELL RD","RICHARDSON"
6938,"EXTENDED STAY AMERICA #9713","2300 WEST LOOP S","HOUSTON"
6939,"EXTENDED STAY AMERICA #9714","7979 FANNIN ST","HOUSTON"
6940,"EXTENDED STAY AMERICA #9716","1015 CENTRAL PKWY S","SAN ANTONIO"
6930,"EXTENDED STAY AMERICA #9502","1311 AIRPORT COMMERCE DR","AUSTIN"
10195,"MIDLAND HOLIDAY INN EXPRESS","5309 W LOOP 250 N","MIDLAND"
1637,"BEST WESTERN","314 E HIGHWAY ST","FREDERICKSBURG"
8542,"HOTEL DON QUIXOTE, LTD.","600 N EL PASO ST","EL PASO"
11854,"ROYAL INN","2030 W NORTHWEST HWY","DALLAS"
9722,"LIGHTHOUSE HILL RANCH, INC.","787 MOUNTAIN TOP DR","JOHNSON CITY"
1849,"BEST WESTERN WINDWOOD INN & SUITES","1172 E RILEY ST","FREER"
1824,"BEST WESTERN QUANAH","1100 W 11TH ST","QUANAH"
1619,"BEST VALUE INN & SUITES","1568 LIVE OAK ST","WEBSTER"
11554,"RENAISSANCE WORTHINGTON HOTEL","200 MAIN ST","FORT WORTH"
12536,"SLATON INN","902 HWY 84","SLATON"
2463,"CASA BELLA INN","5601 PADRE BLVD","SOUTH PADRE ISLAND"
16538,"WILLOW POINT RESORT","427 ELLISON","BUCHANAN DAM"
1944,"BLUE FLAMINGO LUXARY SUITES","6623 HARWIN DR","HOUSTON"
13325,"SUPER 8 MOTEL","12845 MURPHY RD","STAFFORD"
1847,"BEST WESTERN WINDSOR INN","1701 S DUMAS AVE","DUMAS"
13649,"THE ART HOUSE","518 1/2 W PEACH ST","FREDERICKSBURG"
13973,"THE SURF BETTY","619 SEA BREEZE LN","PORT ARANSAS"
8757,"INN ON THE CREEK","602 CENTER CIR","SALADO"
12442,"SHERATON HOUSTON BROOKHOLLOW","3000 NORTH LOOP W","HOUSTON"
16211,"VALUE PLACE","995 MEDIA LUNA ST","BROWNSVILLE"
10845,"PALM BAY RENTAL MANAGEMENT","15217 S PADRE ISLAND DR STE 100","CORPUS CHRISTI"
9208,"KOCH 425.105","15425 FORTUNA BAY DR APT 105","CORPUS CHRISTI"
10057,"MAT521.205","14521 E CABANA ST APT 205","CORPUS CHRISTI"
10548,"OBUR521.105","14521 E CABANA ST APT 105","CORPUS CHRISTI"
5239,"CORN202.601","14202 ENCANTADA AVE APT 601","CORPUS CHRISTI"
9217,"KRAM425.304","15425 FORTUNA BAY DR APT 304","CORPUS CHRISTI"
8935,"JACKS401.B","15401 SEAMOUNT CAY CT APT B","CORPUS CHRISTI"
7819,"HEN202.501","14202 ENCANTADA AVE APT 501","CORPUS CHRISTI"
6594,"EDW5366","5366 CROSSRIDGE DR","CORPUS CHRISTI"
2042,"BREAK413","413 E WALNUT ST","CORPUS CHRISTI"
11121,"POLL425.101","15425 FORTUNA BAY DR APT 101","CORPUS CHRISTI"
14360,"TUR202.704","14202 ENCANTADA AVE APT 704","CORPUS CHRISTI"
11770,"ROB 534","13534 DUCAT CT","CORPUS CHRISTI"
10006,"MARB202.502","14202 ENCANTADA AVE APT 502","CORPUS CHRISTI"
10206,"MIL425.206","15425 FORTUNA BAY DR APT 206","CORPUS CHRISTI"
11652,"RHOD150.A","14150 N CABANA ST APT A","CORPUS CHRISTI"
8603,"HOUSTON INDIGO HOTEL","5160 HIDALGO ST","HOUSTON"
8031,"HOLIDAY INN","1051 N INTERSTATE 35","NEW BRAUNFELS"
10077,"MCM ELEGANTE'SUITES","4250 RIDGEMONT DR","ABILENE"
1627,"BEST WESTERN","1022 HIGHWAY 59 W","EL CAMPO"
6256,"DELUX INN","1885 N STEMMONS","CARROLLTON"
2286,"CANAL FRONT COTTAGE","523 COPANO COVE RD","ROCKPORT"
9728,"LILLIBET'S LANDING","14 BELAIRE DR","ROCKPORT"
13668,"THE BEST CATCH!","172 PORT ROYAL","ARANSAS PASS"
5221,"COPANO CABANA","73 CHANNELVIEW RD","ROCKPORT"
9173,"KITTY BY THE SEA","117 OCEAN DR","ROCKPORT"
13707,"THE CAT'S MEOW","66B COPANO RIDGE RD","ROCKPORT"
7276,"FRISCO FLATS","710 COPANO COVE RD","ROCKPORT"
13656,"THE BAY COTTAGE","714 COPANO COVE RD","ROCKPORT"
13550,"TEQUILA SUNSET","4921 FM 1781","ROCKPORT"
2413,"CAPTAIN DAVE'S","3517 FM 1781","ROCKPORT"
6362,"DOCK OF THE BAY","190 PORT SAINT CLAIRE","ARANSAS PASS"
10110,"MERMAID LAGOON","410 SAILHOUSE WAY","ROCKPORT"
639,"A LITTLE BIT OF PARADISE","137 PORT AVE","ROCKPORT"
11847,"ROYAL ESTES","195 PORT ROYAL","ARANSAS PASS"
10261,"MOON MIRROR BAY","1405 S WATER ST","ROCKPORT"
13545,"TEJAS TIDES","176 PORT SAINT CLAIRE","ARANSAS PASS"
5238,"CORMORANT CROSSING","111 REDHEAD RD","ROCKPORT"
9872,"LUCKY STRIKE","4911 FM 1781","ROCKPORT"
10091,"MELLOW YELLOW","311 SAILHOUSE WAY","ROCKPORT"
12331,"SEAS THE DAY","532 PALMETTO POINT RD","ROCKPORT"
4975,"COASTAL SOUL","631 S MCCAMPBELL ST","ARANSAS PASS"
7199,"FOREVER PARADISE","426 EGERY ISLAND RD","TAFT"
4951,"COASTAL CHARM","2003 N FULTON BEACH RD UNIT 12","ROCKPORT"
7754,"HARBOR LIGHTS COTTAGE #3","108 LAUREL ST # 3","FULTON"
11026,"PICKLED PIRATE","136 PALM DR","ROCKPORT"
16425,"WATERFRONT ESCAPE","141 LAKEVIEW RD","ROCKPORT"
13219,"SUNSET RETREAT","627 COPANO COVE RD","ROCKPORT"
7398,"GOLDEN GULL","2003 N FULTON BEACH RD UNIT 78","ROCKPORT"
6684,"EL FLAMINGO","1141 N FULTON BEACH RD # 5","ROCKPORT"
4968,"COASTAL OASIS","689 COPANO RIDGE RD","ROCKPORT"
10992,"PELICAN POINT","740 COPANO COVE RD","ROCKPORT"
12812,"SPOONBILL","115 BELAIRE DR","ROCKPORT"
8738,"INGLESIDE COVE","2420 UPTON LN","INGLESIDE"
9033,"K'S COAST CONDO","2003 N FULTON BEACH RD","ROCKPORT"
7753,"HARBOR LIGHTS #5","108 LAUREL #5","FULTON"
1994,"BOARDWALK BREEZE","310 SAILHOUSE WAY","ROCKPORT"
6596,"EGERY'S DREAM","384 EGERY ISLAND RD","TAFT"
1973,"BLUE SEAS","402 SAILHOUSE WAY","ROCKPORT"
1175,"ASLEEP AT THE REEL","134 PALM DR","ROCKPORT"
628,"A COASTAL DREAM","207 STARBOARD AVE","ROCKPORT"
7367,"GEORGE'S LANDING","44 CURLEW DR","ROCKPORT"
13896,"THE PEACOCK PALACE","1203 S LIVE OAK ST","ROCKPORT"
11473,"REEL DREAMS","232 STARBOARD AVE","ROCKPORT"
11472,"REEL DEAL","113 PINTAIL LN","ROCKPORT"
2460,"CASA AZUL","104 ISLAND RD","ROCKPORT"
7130,"FINS N FEATHERS","142 LAKESHORE DR","ROCKPORT"
10993,"PELICAN ROOST","103 WINDJAMMER ST","ROCKPORT"
14067,"TIKI TAVERN","1610 SORENSON DR","ROCKPORT"
4965,"COASTAL JOY","2003 N. FULTON BEACH RD. #17","FULTON"
2400,"CAPRICE COTTAGE","1141 N. FULTON BEACH RD #1","FULTON"
12129,"SCALLOP COVE","1 SCALLOP DR","ROCKPORT"
11058,"PIRATE HARBOR","314 COPANO RIDGE RD","ROCKPORT"
7741,"HAPPY HARBOR","324 COPANO RIDGE RD","ROCKPORT"
12024,"SAND BAR","437 PALMETTO POINT RD","ROCKPORT"
4959,"COASTAL CUTIE","1801 BROADWAY ST # 3","ROCKPORT"
2403,"CAPT DAVE'S ANCHOR HOUSE","3521 LOOP 1781","ROCKPORT"
11783,"ROCK N REEL 'WISH YOU WERE HERE'","1024 S MAGNOLIA ST","ROCKPORT"
9232,"LA CASA BAHIA","203 WINDJAMMER ST","ROCKPORT"
7148,"FISHERMAN LUV","113 OCEAN DR","ROCKPORT"
9633,"LAS BRISAS","147 PORT ROYAL","ARANSAS PASS"
