"Tax_HotelID","Tax_HotelName","Tax_HotelAddress","Tax_City"
10574,"OCEAN VILLAGE RESORT","310 FRANCIS CV","SURFSIDE BEACH"
9720,"LIGHTHOUSE","130 BELANGER AVE","SURFSIDE BEACH"
2416,"CAPTAIN JACK","506 POINT LOOKOUT","SURFSIDE BEACH"
6695,"EL PATRON","122 STARFISH ST","SURFSIDE BEACH"
7249,"FOXY LADY","2706 SWAN CT","SURFSIDE BEACH"
2685,"CIBOLO CREEK RANCH","96801 HIGHWAY 67","SHAFTER"
623,"A B SEA SALES AND RENTALS INC","10811 TERMINI SAN LUIS PASS RD","GALVESTON"
10255,"MOODY GARDENS HOTEL","1 HOPE BLVD","GALVESTON"
9960,"MAIN STREET INN","7905 SOUTH MAIN","HOUSTON"
10017,"MARINER MOTEL","1602 SEAWALL BLVD","GALVESTON"
8024,"HOJO INN","4602 KATY FRWY","HOUSTON"
11196,"PROPERTY OWNERS ASSOCIATION OF HILLTOP LAKES INC","1 HILLTOP DR","HILLTOP LAKES"
12725,"SOUTHWINDS INN","5101 E PARKWAY","GROVES"
9207,"KNOXWOOD II MOTEL","5002 TIDWELL RD","HOUSTON"
6582,"ECONOMY INN MOTEL","2620 S VELASCO","ANGLETON"
1391,"BAYSHORE MOTEL INC","717 HIGHWAY 146 N","LA PORTE"
9898,"LUXURY INN-I45","2626 NORTH FWY","HOUSTON"
556,"777 RANCH","1829 COUNTY ROAD 432","HONDO"
11226,"QUALITY INN & SUITES","1802 S I H 35","ROUND ROCK"
16247,"VICTORIAN","6300 SEAWALL BLVD","GALVESTON"
13767,"THE GAGE HOTEL","205 NW 1ST ST","MARATHON"
10870,"PAR REALTY GROUP, INC.","6221 RICHMOND AVE","HOUSTON"
12739,"SPENCER MOTEL","7414 SPENCER HIWAY","PASADENA"
13787,"THE HARBOR HOUSE","2100 HARBORSIDE DR","GALVESTON"
13985,"THE TREMONT HOUSE","2300 MECHANIC ST","GALVESTON"
13805,"THE HOTEL GALVEZ","2024 SEAWALL BLVD","GALVESTON"
10138,"MESSINA HOF WINE CELLARS INC","4545 OLD RELIANCE RD","BRYAN"
10132,"MESSINA HOF HILL COUNTRY","9996 E US HIGHWAY 290","FREDERICKSBURG"
2272,"CAMP BALCONES SPRINGS","104 BALCONES SPRINGS DR","MARBLE FALLS"
7750,"HARBOR HOUSE","28 PIER # 21","GALVESTON"
6554,"ECONOLODGE","823 WEST PASADENA FWY","PASADENA"
8185,"HOLIDAY INN EXPRESS & SUITES","5619 FM 1960 RD E","HUMBLE"
6568,"ECONOMY INN","3008 SEAWALL BLVD","GALVESTON"
8745,"INN AT THE BALLPARK","1520 TEXAS ST","HOUSTON"
12371,"SEASIDE RV RESORT","4001 OLD HWY 146","SEABROOK"
12150,"SCOTTISH INN","424 E TIDWELL RD","HOUSTON"
11350,"RAMADA LIMITED","2300 SEAWALL BLVD","GALVESTON"
2689,"CIRCA 1886 SOUTHERN TOWNHOME","1513 WINNIE ST","GALVESTON"
5995,"CROWN PLAZA INN","7443 CULLEN BLVD","HOUSTON"
1995,"BOARDWALK INN","8 WATERFRONT","KEMAH"
12364,"SEASIDE INN","503 BAY AVE","KEMAH"
8992,"JOHN KIPP HOUSE","707 7TH ST","KEMAH"
6592,"EDGEWATER INN","1447 BAYSHORE DR","KEMAH"
2409,"CAPTAIN'S QUARTERS","701 BAY AVE","KEMAH"
9084,"KEMAH ESCAPE","617 9TH ST","KEMAH"
13343,"SUPER 8 MOTEL","22157 KATY FRWY","KATY"
5283,"COUNTRY HEARTH INN","1808 FM 102 RD","WHARTON"
1176,"ASTRO CITY MOTEL","2415 RIVERSIDE DR","HOUSTON"
11403,"RED CARPET INN","6868 HORNWOOD DR","HOUSTON"
10782,"PALACE INN","5434 EAST FRWY AT I-10","HOUSTON"
13333,"SUPER 8 MOTEL","18103 KINGS ROW","HOUSTON"
14058,"TIDWELL INN","3300 TIDWELL RD","HOUSTON"
12450,"SHILO INN","1707 LUBBOCK HWY","LAMESA"
6280,"DELUXE INN SUITES","1930 COLLEGE","BEAUMONT"
1633,"BEST WESTERN","1855 N MAIN ST","PEARLAND"
10814,"PALACE INN NORTHWEST","3421 ANTOINE @ 34TH","HOUSTON"
